lat,lon
5125.21852,01323.43213
5125.21853,01323.43222
5125.21856,01323.43226
5125.21858,01323.43228
5125.21859,01323.43236
5125.21859,01323.43241
5125.21859,01323.43241
5125.21860,01323.43241
5125.21858,01323.43241
5125.21859,01323.43240
5125.21856,01323.43230
5125.21856,01323.43223
5125.21861,01323.43223
5125.21863,01323.43221
5125.21863,01323.43221
5125.21873,01323.43215
5125.21875,01323.43214
5125.21881,01323.43206
5125.21877,01323.43203
5125.21874,01323.43193
5125.21868,01323.43184
5125.21863,01323.43172
5125.21860,01323.43165
5125.21857,01323.43159
5125.21856,01323.43153
5125.21855,01323.43147
5125.21852,01323.43137
5125.21848,01323.43127
5125.21842,01323.43117
5125.21839,01323.43110
5125.21838,01323.43107
5125.21834,01323.43101
5125.21832,01323.43094
5125.21832,01323.43097
5125.21830,01323.43099
5125.21828,01323.43101
5125.21828,01323.43100
5125.21828,01323.43102
5125.21827,01323.43102
5125.21829,01323.43104
5125.21831,01323.43105
5125.21830,01323.43102
5125.21830,01323.43102
5125.21832,01323.43102
5125.21833,01323.43104
5125.21818,01323.43089
5125.21808,01323.43079
5125.21803,01323.43072
5125.21794,01323.43060
5125.21784,01323.43049
5125.21776,01323.43042
5125.21770,01323.43036
5125.21764,01323.43029
5125.21760,01323.43026
5125.21756,01323.43026
5125.21751,01323.43024
5125.21746,01323.43021
5125.21739,01323.43017
5125.21731,01323.43010
5125.21723,01323.43004
5125.21718,01323.43000
5125.21713,01323.42996
5125.21711,01323.42994
5125.21711,01323.42995
5125.21708,01323.42993
5125.21705,01323.42990
5125.21708,01323.42993
5125.21707,01323.42992
5125.21707,01323.42993
5125.21708,01323.42991
5125.21710,01323.42992
5125.21710,01323.42991
5125.21710,01323.42992
5125.21710,01323.42993
5125.21710,01323.42994
5125.21712,01323.42992
5125.21711,01323.42990
5125.21714,01323.42992
5125.21717,01323.42994
5125.21717,01323.42992
5125.21719,01323.42995
5125.21725,01323.43000
5125.21730,01323.43000
5125.21737,01323.43004
5125.21742,01323.43006
5125.21749,01323.43009
5125.21760,01323.43021
5125.21766,01323.43026
5125.21771,01323.43025
5125.21761,01323.43007
5125.21766,01323.43006
5125.21769,01323.43003
5125.21777,01323.43007
5125.21786,01323.43013
5125.21796,01323.43022
5125.21807,01323.43029
5125.21813,01323.43030
5125.21821,01323.43037
5125.21828,01323.43042
5125.21835,01323.43047
5125.21838,01323.43050
5125.21843,01323.43054
5125.21850,01323.43059
5125.21856,01323.43063
5125.21860,01323.43063
5125.21863,01323.43061
5125.21868,01323.43062
5125.21871,01323.43064
5125.21879,01323.43077
5125.21892,01323.43095
5125.21893,01323.43095
5125.21890,01323.43082
5125.21886,01323.43074
5125.21888,01323.43083
5125.21887,01323.43104
5125.21884,01323.43114
5125.21880,01323.43119
5125.21876,01323.43120
5125.21873,01323.43134
5125.21871,01323.43151
5125.21868,01323.43166
5125.21867,01323.43180
5125.21868,01323.43183
5125.21877,01323.43192
5125.21887,01323.43198
5125.21893,01323.43202
5125.21903,01323.43192
5125.21903,01323.43186
5125.21887,01323.43174
5125.21874,01323.43165
5125.21866,01323.43163
5125.21864,01323.43171
5125.21864,01323.43177
5125.21863,01323.43172
5125.21864,01323.43173
5125.21860,01323.43166
5125.21858,01323.43165
5125.21857,01323.43164
5125.21855,01323.43164
5125.21853,01323.43160
5125.21852,01323.43160
5125.21851,01323.43157
5125.21851,01323.43153
5125.21848,01323.43145
5125.21846,01323.43146
5125.21845,01323.43147
5125.21844,01323.43146
5125.21843,01323.43143
5125.21841,01323.43139
5125.21839,01323.43135
5125.21836,01323.43133
5125.21834,01323.43136
5125.21834,01323.43138
5125.21834,01323.43138
5125.21832,01323.43138
5125.21830,01323.43137
5125.21830,01323.43134
5125.21830,01323.43127
5125.21830,01323.43125
5125.21831,01323.43123
5125.21830,01323.43123
5125.21826,01323.43125
5125.21824,01323.43130
5125.21826,01323.43133
5125.21824,01323.43139
5125.21822,01323.43146
5125.21822,01323.43147
5125.21820,01323.43142
5125.21822,01323.43135
5125.21823,01323.43122
5125.21823,01323.43113
5125.21814,01323.43108
5125.21809,01323.43105
5125.21805,01323.43103
5125.21805,01323.43094
5125.21809,01323.43090
5125.21808,01323.43087
5125.21802,01323.43078
5125.21795,01323.43067
5125.21791,01323.43059
5125.21784,01323.43046
5125.21780,01323.43040
5125.21776,01323.43033
5125.21772,01323.43024
5125.21772,01323.43017
5125.21771,01323.43007
5125.21769,01323.42999
5125.21767,01323.42987
5125.21766,01323.42983
5125.21763,01323.42975
5125.21762,01323.42971
5125.21754,01323.42964
5125.21748,01323.42955
5125.21751,01323.42955
5125.21749,01323.42957
5125.21746,01323.42956
5125.21740,01323.42956
5125.21749,01323.42963
5125.21752,01323.42978
5125.21762,01323.42994
5125.21764,01323.42999
5125.21769,01323.43006
5125.21773,01323.43011
5125.21776,01323.43012
