lat,lon
5055.47002,01319.76260
5055.47010,01319.76266
5055.47019,01319.76247
5055.47026,01319.76247
5055.47023,01319.76230
5055.47006,01319.76169
5055.46997,01319.76125
5055.47001,01319.76066
5055.47012,01319.76031
5055.47035,01319.76018
5055.47045,01319.76005
5055.47068,01319.75991
5055.47085,01319.75991
5055.47090,01319.75980
5055.47102,01319.75956
5055.47119,01319.75932
5055.47133,01319.75909
5055.47137,01319.75879
5055.47136,01319.75866
5055.47139,01319.75851
5055.47144,01319.75813
5055.47164,01319.75791
5055.47175,01319.75778
5055.47173,01319.75776
5055.47165,01319.75810
