lat,lon
5125.23880,01323.43260
5125.23878,01323.43260
5125.23881,01323.43263
5125.23882,01323.43263
5125.23883,01323.43263
5125.23881,01323.43264
5125.23876,01323.43266
5125.23874,01323.43265
5125.23876,01323.43267
5125.23872,01323.43264
5125.23861,01323.43257
5125.23856,01323.43255
5125.23857,01323.43253
5125.23855,01323.43250
5125.23852,01323.43249
5125.23853,01323.43250
5125.23855,01323.43251
5125.23858,01323.43253
5125.23851,01323.43250
5125.23849,01323.43250
5125.23849,01323.43254
5125.23848,01323.43257
5125.23846,01323.43254
5125.23845,01323.43249
5125.23844,01323.43247
5125.23842,01323.43245
5125.23840,01323.43242
5125.23838,01323.43239
5125.23835,01323.43236
5125.23831,01323.43231
5125.23828,01323.43227
5125.23827,01323.43226
5125.23823,01323.43224
5125.23821,01323.43225
5125.23822,01323.43226
5125.23823,01323.43227
5125.23819,01323.43231
5125.23821,01323.43235
5125.23821,01323.43235
5125.23822,01323.43234
5125.23825,01323.43233
5125.23831,01323.43234
5125.23838,01323.43237
5125.23836,01323.43237
5125.23835,01323.43238
5125.23834,01323.43241
5125.23839,01323.43242
5125.23839,01323.43242
5125.23838,01323.43243
5125.23840,01323.43244
5125.23847,01323.43249
5125.23850,01323.43247
5125.23853,01323.43246
5125.23858,01323.43247
5125.23863,01323.43247
5125.23869,01323.43246
5125.23875,01323.43243
5125.23881,01323.43240
5125.23886,01323.43237
5125.23890,01323.43231
5125.23893,01323.43225
5125.23898,01323.43222
5125.23904,01323.43219
5125.23909,01323.43216
5125.23914,01323.43217
5125.23918,01323.43214
5125.23922,01323.43211
5125.23924,01323.43206
5125.23930,01323.43207
5125.23936,01323.43209
5125.23934,01323.43204
5125.23931,01323.43202
5125.23929,01323.43201
5125.23931,01323.43200
5125.23934,01323.43201
5125.23934,01323.43201
5125.23932,01323.43204
5125.23926,01323.43202
5125.23923,01323.43202
5125.23922,01323.43201
5125.23919,01323.43202
5125.23916,01323.43197
5125.23913,01323.43197
5125.23908,01323.43198
5125.23904,01323.43197
5125.23901,01323.43194
5125.23897,01323.43194
5125.23894,01323.43192
5125.23893,01323.43190
5125.23891,01323.43191
5125.23889,01323.43190
5125.23889,01323.43192
5125.23887,01323.43191
5125.23887,01323.43192
5125.23886,01323.43193
5125.23888,01323.43193
5125.23889,01323.43195
5125.23890,01323.43197
5125.23890,01323.43198
5125.23890,01323.43199
5125.23892,01323.43201
5125.23893,01323.43202
5125.23896,01323.43206
5125.23898,01323.43209
5125.23899,01323.43210
5125.23900,01323.43212
5125.23901,01323.43215
5125.23902,01323.43218
5125.23902,01323.43219
5125.23903,01323.43221
5125.23905,01323.43225
5125.23906,01323.43225
5125.23907,01323.43227
5125.23906,01323.43228
5125.23907,01323.43235
5125.23911,01323.43241
5125.23913,01323.43247
5125.23914,01323.43253
5125.23915,01323.43257
5125.23916,01323.43260
5125.23917,01323.43266
5125.23917,01323.43269
5125.23917,01323.43273
5125.23918,01323.43277
5125.23918,01323.43285
5125.23920,01323.43287
5125.23921,01323.43292
5125.23922,01323.43296
5125.23922,01323.43299
5125.23921,01323.43300
5125.23922,01323.43301
5125.23922,01323.43304
5125.23921,01323.43307
5125.23920,01323.43308
5125.23919,01323.43309
5125.23917,01323.43309
5125.23914,01323.43312
5125.23912,01323.43313
5125.23911,01323.43314
5125.23908,01323.43314
5125.23907,01323.43316
5125.23907,01323.43319
5125.23905,01323.43324
5125.23899,01323.43321
5125.23895,01323.43319
5125.23893,01323.43320
5125.23894,01323.43319
5125.23894,01323.43319
5125.23895,01323.43325
5125.23895,01323.43332
5125.23892,01323.43336
5125.23889,01323.43334
5125.23884,01323.43329
5125.23878,01323.43330
5125.23872,01323.43328
5125.23867,01323.43329
5125.23860,01323.43327
5125.23854,01323.43329
5125.23851,01323.43331
5125.23846,01323.43333
5125.23841,01323.43333
5125.23837,01323.43334
5125.23835,01323.43337
5125.23832,01323.43339
5125.23830,01323.43341
5125.23830,01323.43339
5125.23827,01323.43339
5125.23822,01323.43339
5125.23820,01323.43338
5125.23818,01323.43338
5125.23815,01323.43341
5125.23814,01323.43343
5125.23814,01323.43345
5125.23815,01323.43347
5125.23813,01323.43348
5125.23811,01323.43345
5125.23809,01323.43345
5125.23810,01323.43344
5125.23811,01323.43344
5125.23812,01323.43348
5125.23812,01323.43351
5125.23814,01323.43348
5125.23817,01323.43351
5125.23821,01323.43354
5125.23822,01323.43355
5125.23823,01323.43357
5125.23822,01323.43359
5125.23822,01323.43365
5125.23822,01323.43367
5125.23824,01323.43370
5125.23826,01323.43377
5125.23829,01323.43385
5125.23833,01323.43390
5125.23834,01323.43387
5125.23838,01323.43387
5125.23840,01323.43387
5125.23840,01323.43386
5125.23838,01323.43386
5125.23832,01323.43392
5125.23831,01323.43401
5125.23831,01323.43403
5125.23832,01323.43408
5125.23834,01323.43409
5125.23836,01323.43415
5125.23837,01323.43415
5125.23838,01323.43417
5125.23840,01323.43423
5125.23840,01323.43424
5125.23841,01323.43426
5125.23842,01323.43426
5125.23843,01323.43431
5125.23844,01323.43435
5125.23846,01323.43435
5125.23848,01323.43434
5125.23845,01323.43432
5125.23844,01323.43436
5125.23844,01323.43439
5125.23846,01323.43438
5125.23848,01323.43433
5125.23849,01323.43435
5125.23848,01323.43437
5125.23852,01323.43440
5125.23852,01323.43444
5125.23852,01323.43448
5125.23852,01323.43448
5125.23853,01323.43451
5125.23854,01323.43450
5125.23853,01323.43447
5125.23851,01323.43447
5125.23848,01323.43446
5125.23843,01323.43441
5125.23841,01323.43433
5125.23839,01323.43426
5125.23836,01323.43419
5125.23834,01323.43414
5125.23831,01323.43412
5125.23829,01323.43413
5125.23829,01323.43412
5125.23832,01323.43411
5125.23832,01323.43414
5125.23830,01323.43411
5125.23827,01323.43409
5125.23826,01323.43414
5125.23826,01323.43414
5125.23821,01323.43413
5125.23815,01323.43412
5125.23814,01323.43410
5125.23814,01323.43408
5125.23813,01323.43405
5125.23814,01323.43403
5125.23817,01323.43405
5125.23819,01323.43399
5125.23821,01323.43396
5125.23823,01323.43393
5125.23825,01323.43388
5125.23827,01323.43389
5125.23830,01323.43385
5125.23831,01323.43381
5125.23831,01323.43376
5125.23831,01323.43373
5125.23834,01323.43361
5125.23836,01323.43355
5125.23838,01323.43352
5125.23842,01323.43348
5125.23844,01323.43338
5125.23845,01323.43332
5125.23844,01323.43325
5125.23844,01323.43321
5125.23845,01323.43318
5125.23844,01323.43313
5125.23843,01323.43309
5125.23842,01323.43303
5125.23842,01323.43298
5125.23839,01323.43294
5125.23839,01323.43291
5125.23840,01323.43281
5125.23841,01323.43277
5125.23844,01323.43267
5125.23843,01323.43257
5125.23843,01323.43245
5125.23842,01323.43238
5125.23842,01323.43236
5125.23842,01323.43236
5125.23843,01323.43227
5125.23845,01323.43220
5125.23845,01323.43211
5125.23845,01323.43203
5125.23845,01323.43194
5125.23846,01323.43184
5125.23845,01323.43179
5125.23843,01323.43176
5125.23841,01323.43173
5125.23838,01323.43173
5125.23836,01323.43174
5125.23835,01323.43176
5125.23833,01323.43178
5125.23830,01323.43180
5125.23828,01323.43179
5125.23826,01323.43180
5125.23825,01323.43182
5125.23825,01323.43181
5125.23824,01323.43181
5125.23823,01323.43181
5125.23822,01323.43183
5125.23820,01323.43186
5125.23818,01323.43188
5125.23817,01323.43192
5125.23816,01323.43198
5125.23814,01323.43201
5125.23812,01323.43208
5125.23812,01323.43207
5125.23811,01323.43211
5125.23812,01323.43216
5125.23811,01323.43219
5125.23810,01323.43222
5125.23807,01323.43226
5125.23804,01323.43229
5125.23800,01323.43230
5125.23797,01323.43220
5125.23794,01323.43217
5125.23790,01323.43209
5125.23789,01323.43204
5125.23787,01323.43203
5125.23786,01323.43201
5125.23785,01323.43197
5125.23784,01323.43190
5125.23782,01323.43182
5125.23777,01323.43184
5125.23774,01323.43185
5125.23772,01323.43178
5125.23772,01323.43169
5125.23772,01323.43163
5125.23771,01323.43158
5125.23771,01323.43149
5125.23774,01323.43145
5125.23774,01323.43138
5125.23774,01323.43137
5125.23772,01323.43128
5125.23771,01323.43120
5125.23769,01323.43124
5125.23767,01323.43120
5125.23765,01323.43112
5125.23764,01323.43105
5125.23764,01323.43104
5125.23763,01323.43104
5125.23763,01323.43103
5125.23763,01323.43102
5125.23765,01323.43102
5125.23764,01323.43102
5125.23765,01323.43108
5125.23767,01323.43112
5125.23766,01323.43112
5125.23767,01323.43114
5125.23769,01323.43113
5125.23769,01323.43115
5125.23771,01323.43112
5125.23774,01323.43105
5125.23778,01323.43106
5125.23781,01323.43102
5125.23784,01323.43097
5125.23788,01323.43095
5125.23791,01323.43092
5125.23795,01323.43090
5125.23796,01323.43084
5125.23796,01323.43074
5125.23798,01323.43064
5125.23801,01323.43062
5125.23805,01323.43065
5125.23805,01323.43062
5125.23808,01323.43063
5125.23808,01323.43059
5125.23810,01323.43060
5125.23813,01323.43060
5125.23817,01323.43066
5125.23823,01323.43068
5125.23824,01323.43073
5125.23827,01323.43078
5125.23831,01323.43080
5125.23836,01323.43083
5125.23842,01323.43088
5125.23847,01323.43093
5125.23852,01323.43106
5125.23856,01323.43119
5125.23859,01323.43130
5125.23863,01323.43138
5125.23867,01323.43148
5125.23872,01323.43152
5125.23877,01323.43156
5125.23879,01323.43164
5125.23880,01323.43170
5125.23880,01323.43177
5125.23879,01323.43181
5125.23879,01323.43188
5125.23879,01323.43194
5125.23878,01323.43203
5125.23875,01323.43211
5125.23873,01323.43217
5125.23872,01323.43222
5125.23870,01323.43232
5125.23869,01323.43236
5125.23868,01323.43239
5125.23866,01323.43245
5125.23863,01323.43248
5125.23859,01323.43246
5125.23858,01323.43245
5125.23856,01323.43246
5125.23855,01323.43242
5125.23856,01323.43238
5125.23857,01323.43239
5125.23858,01323.43241
5125.23857,01323.43239
5125.23857,01323.43238
5125.23856,01323.43240
5125.23857,01323.43238
5125.23858,01323.43235
5125.23859,01323.43238
5125.23859,01323.43236
5125.23861,01323.43236
5125.23858,01323.43236
5125.23858,01323.43236
5125.23862,01323.43234
5125.23865,01323.43233
5125.23867,01323.43233
5125.23869,01323.43233
5125.23871,01323.43235
5125.23872,01323.43234
5125.23874,01323.43237
5125.23874,01323.43241
5125.23876,01323.43247
5125.23877,01323.43251
5125.23877,01323.43255
5125.23877,01323.43257
5125.23879,01323.43261
5125.23878,01323.43266
5125.23877,01323.43270
5125.23877,01323.43275
5125.23876,01323.43276
5125.23877,01323.43279
5125.23877,01323.43283
5125.23878,01323.43287
5125.23879,01323.43291
5125.23878,01323.43295
5125.23878,01323.43297
5125.23878,01323.43300
5125.23878,01323.43302
5125.23880,01323.43308
5125.23882,01323.43311
5125.23880,01323.43311
5125.23880,01323.43309
5125.23879,01323.43307
5125.23878,01323.43307
5125.23878,01323.43310
5125.23878,01323.43309
5125.23878,01323.43306
5125.23879,01323.43306
5125.23879,01323.43308
5125.23877,01323.43309
5125.23875,01323.43312
5125.23873,01323.43314
5125.23869,01323.43322
5125.23867,01323.43328
5125.23866,01323.43337
5125.23863,01323.43338
5125.23860,01323.43337
5125.23858,01323.43344
5125.23857,01323.43348
5125.23855,01323.43351
5125.23852,01323.43350
5125.23851,01323.43354
5125.23849,01323.43355
5125.23848,01323.43353
5125.23846,01323.43353
5125.23845,01323.43352
5125.23846,01323.43358
5125.23843,01323.43358
5125.23842,01323.43355
5125.23841,01323.43353
5125.23840,01323.43350
5125.23839,01323.43350
5125.23838,01323.43348
5125.23837,01323.43345
5125.23837,01323.43343
5125.23838,01323.43339
5125.23840,01323.43333
5125.23842,01323.43326
5125.23845,01323.43320
5125.23846,01323.43316
5125.23846,01323.43313
5125.23847,01323.43311
5125.23847,01323.43307
5125.23848,01323.43303
5125.23849,01323.43299
5125.23851,01323.43297
5125.23851,01323.43293
5125.23853,01323.43290
5125.23853,01323.43282
5125.23855,01323.43274
5125.23855,01323.43267
5125.23856,01323.43259
5125.23858,01323.43251
5125.23858,01323.43247
5125.23857,01323.43243
5125.23857,01323.43239
5125.23857,01323.43236
5125.23857,01323.43234
5125.23855,01323.43231
5125.23855,01323.43230
5125.23852,01323.43227
5125.23853,01323.43227
5125.23848,01323.43222
5125.23844,01323.43219
5125.23836,01323.43210
5125.23836,01323.43212
5125.23833,01323.43216
5125.23829,01323.43217
5125.23826,01323.43221
5125.23820,01323.43216
5125.23818,01323.43215
5125.23815,01323.43213
5125.23812,01323.43216
5125.23814,01323.43229
5125.23805,01323.43228
5125.23806,01323.43233
5125.23808,01323.43238
5125.23814,01323.43242
5125.23813,01323.43242
5125.23812,01323.43238
5125.23812,01323.43236
5125.23810,01323.43231
5125.23809,01323.43226
