lat,lon
5125.23876,01323.42113
5125.23891,01323.42143
5125.23872,01323.42211
5125.23908,01323.42059
5125.23898,01323.42051
5125.23930,01323.42035
5125.23966,01323.42026
5125.23974,01323.41965
5125.23985,01323.41886
5125.23942,01323.41959
5125.23876,01323.42205
5125.23978,01323.42080
5125.24048,01323.42074
5125.24103,01323.42053
5125.23997,01323.42283
5125.23855,01323.42524
5125.23960,01323.42349
5125.24004,01323.42147
5125.23998,01323.42083
5125.23964,01323.42102
5125.23770,01323.42289
5125.23649,01323.42598
5125.23411,01323.42859
5125.23327,01323.42888
5125.23203,01323.42914
5125.23160,01323.42900
5125.23219,01323.42932
5125.23061,01323.43057
5125.23144,01323.43077
5125.23201,01323.43040
5125.23256,01323.43066
5125.23330,01323.43053
5125.23271,01323.43029
5125.23260,01323.42924
5125.23323,01323.42735
5125.23350,01323.42731
5125.23345,01323.42716
5125.23279,01323.42725
5125.23288,01323.42747
5125.23326,01323.42831
5125.23281,01323.42795
5125.23325,01323.42812
5125.23329,01323.42922
5125.23462,01323.42794
5125.23596,01323.42624
5125.23777,01323.42582
5125.23809,01323.42590
5125.23842,01323.42629
5125.23849,01323.42674
5125.23896,01323.42691
5125.24107,01323.42657
5125.24121,01323.42602
5125.24172,01323.42622
5125.24180,01323.42771
5125.24100,01323.42848
5125.24206,01323.42615
5125.24283,01323.42521
,
,
,
,
,
,
,
,
,
,
,
,
,
5125.24691,01323.41856
,
,
5125.24189,01323.42577
5125.23986,01323.42659
5125.23792,01323.42769
,
5125.23776,01323.42700
5125.23805,01323.42666
5125.23822,01323.42660
5125.23823,01323.42655
5125.23853,01323.42663
,
5125.23886,01323.42612
,
5125.23987,01323.42582
,
,
,
,
,
,
,
,
5125.24219,01323.42466
5125.24027,01323.42538
5125.23975,01323.42672
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5125.27712,01323.43914
5125.27168,01323.43726
5125.26829,01323.43610
5125.26589,01323.43536
5125.26295,01323.43375
5125.26090,01323.43277
5125.25913,01323.43219
5125.25701,01323.43238
5125.25565,01323.43177
5125.25433,01323.43094
5125.25306,01323.43047
5125.25180,01323.42997
5125.25067,01323.42951
5125.24921,01323.42825
5125.24846,01323.42806
5125.24633,01323.42795
5125.24518,01323.42748
5125.24445,01323.42834
5125.24435,01323.42879
5125.24407,01323.42824
5125.24367,01323.42756
5125.24337,01323.42721
5125.24299,01323.42731
5125.24318,01323.42704
5125.24344,01323.42731
5125.24339,01323.42717
5125.24296,01323.42641
5125.24258,01323.42588
5125.24149,01323.42535
5125.24165,01323.42495
5125.24035,01323.42615
5125.23906,01323.42657
5125.23875,01323.42685
5125.23919,01323.42736
5125.23948,01323.42860
5125.24026,01323.42975
5125.23974,01323.43016
5125.23942,01323.42950
5125.23862,01323.42954
5125.23777,01323.42965
5125.23762,01323.42963
5125.23708,01323.42956
5125.23629,01323.43006
5125.23598,01323.42971
5125.23537,01323.43020
5125.23534,01323.43055
5125.23513,01323.43102
5125.23392,01323.43091
5125.23348,01323.43114
5125.23390,01323.43045
5125.23399,01323.42941
5125.23428,01323.42921
5125.23474,01323.42918
5125.23462,01323.42860
5125.23383,01323.42850
5125.23482,01323.42640
