lat,lon
5055.48799,01319.78076
5055.48791,01319.78070
5055.48781,01319.78062
5055.48766,01319.78033
5055.48773,01319.78034
5055.48761,01319.78033
5055.48717,01319.78010
5055.48711,01319.78004
5055.48720,01319.78012
5055.48713,01319.78009
5055.48712,01319.78006
5055.48718,01319.78008
5055.48716,01319.78002
5055.48715,01319.77986
5055.48709,01319.77978
5055.48713,01319.77989
5055.48699,01319.77979
5055.48687,01319.77965
5055.48691,01319.77965
5055.48697,01319.77990
5055.48687,01319.77976
5055.48676,01319.77968
5055.48653,01319.77967
5055.48653,01319.77973
5055.48648,01319.77966
5055.48654,01319.77973
5055.48658,01319.77994
5055.48670,01319.78011
5055.48658,01319.77990
5055.48652,01319.77967
5055.48671,01319.77984
5055.48682,01319.78001
5055.48668,01319.78003
5055.48662,01319.77989
5055.48636,01319.77958
5055.48621,01319.77999
5055.48614,01319.77991
5055.48619,01319.78011
5055.48630,01319.78017
5055.48656,01319.78051
5055.48657,01319.78116
5055.48639,01319.78120
5055.48618,01319.78090
5055.48633,01319.78080
5055.48657,01319.78095
5055.48674,01319.78106
5055.48681,01319.78111
5055.48673,01319.78098
5055.48685,01319.78102
5055.48705,01319.78091
5055.48705,01319.78122
5055.48701,01319.78135
5055.48705,01319.78172
5055.48700,01319.78184
5055.48711,01319.78200
5055.48722,01319.78221
5055.48713,01319.78225
5055.48715,01319.78210
5055.48700,01319.78210
5055.48690,01319.78215
5055.48678,01319.78213
5055.48678,01319.78203
5055.48669,01319.78181
5055.48669,01319.78187
5055.48666,01319.78183
5055.48663,01319.78178
5055.48669,01319.78173
5055.48684,01319.78182
5055.48689,01319.78185
5055.48683,01319.78186
5055.48665,01319.78169
5055.48671,01319.78185
5055.48676,01319.78198
5055.48698,01319.78217
5055.48701,01319.78226
5055.48698,01319.78228
5055.48701,01319.78242
5055.48715,01319.78247
5055.48726,01319.78248
5055.48711,01319.78239
5055.48705,01319.78236
5055.48713,01319.78230
5055.48720,01319.78211
5055.48742,01319.78214
5055.48725,01319.78209
5055.48724,01319.78223
5055.48730,01319.78239
5055.48717,01319.78207
5055.48720,01319.78228
5055.48707,01319.78225
