lat,lon
5055.48690,01319.78759
5055.48676,01319.78754
5055.48661,01319.78755
5055.48662,01319.78745
5055.48663,01319.78736
5055.48679,01319.78716
5055.48669,01319.78709
5055.48671,01319.78707
5055.48685,01319.78682
5055.48774,01319.78706
5055.48786,01319.78737
5055.48782,01319.78752
5055.48787,01319.78764
5055.48793,01319.78804
5055.48799,01319.78795
5055.48790,01319.78838
5055.48786,01319.78835
5055.48798,01319.78869
5055.48800,01319.78887
5055.48792,01319.78897
5055.48795,01319.78891
5055.48815,01319.78944
5055.48823,01319.78959
5055.48847,01319.78973
5055.48853,01319.78961
5055.48867,01319.78973
5055.48874,01319.78971
5055.48877,01319.78954
5055.48883,01319.78939
5055.48885,01319.78931
