lat,lon
5055.48424,01319.78397
5055.48413,01319.78383
5055.48404,01319.78347
5055.48403,01319.78328
5055.48417,01319.78325
5055.48453,01319.78325
5055.48482,01319.78353
5055.48520,01319.78360
5055.48543,01319.78337
5055.48560,01319.78308
5055.48577,01319.78289
5055.48603,01319.78299
5055.48598,01319.78353
5055.48600,01319.78392
5055.48623,01319.78418
5055.48649,01319.78398
5055.48673,01319.78345
5055.48687,01319.78338
5055.48705,01319.78318
5055.48728,01319.78297
5055.48746,01319.78270
5055.48749,01319.78275
5055.48763,01319.78240
5055.48802,01319.78227
5055.48805,01319.78187
5055.48818,01319.78191
5055.48843,01319.78160
5055.48873,01319.78173
5055.48896,01319.78161
5055.48905,01319.78162
5055.48940,01319.78160
5055.48968,01319.78140
5055.48974,01319.78138
5055.49012,01319.78142
5055.49020,01319.78139
5055.49009,01319.78131
5055.49015,01319.78119
5055.49012,01319.78090
5055.49014,01319.78079
5055.49017,01319.78062
5055.49015,01319.78056
5055.49024,01319.78043
5055.49021,01319.78045
5055.49056,01319.78035
5055.49066,01319.78028
5055.49081,01319.78048
5055.49098,01319.78062
5055.49088,01319.78074
5055.49098,01319.78074
5055.49092,01319.78073
5055.49084,01319.78090
5055.49072,01319.78096
5055.49070,01319.78118
5055.49086,01319.78130
5055.49116,01319.78118
5055.49127,01319.78121
5055.49142,01319.78121
5055.49172,01319.78116
5055.49187,01319.78099
5055.49172,01319.78103
5055.49151,01319.78117
